?qlexid	?qp	?qo
"aama:IDb44ac52e-984f-4533-a04a-a28656dd04e7"	"aama:stemClass"	"aama:D"
"aama:IDb8680139-9d95-4a06-a3d5-e7c8dc1148ce"	"a"	"aama:lexid"
"aama:IDb8680139-9d95-4a06-a3d5-e7c8dc1148ce"	"aama:dervStem"	"aama:T"
"aama:IDb8680139-9d95-4a06-a3d5-e7c8dc1148ce"	"aama:gloss"	"finish"
"aama:IDb8680139-9d95-4a06-a3d5-e7c8dc1148ce"	"aama:lang"	"aama:geez"
"aama:IDb8680139-9d95-4a06-a3d5-e7c8dc1148ce"	"aama:lemma"	"täfä?äm-ä"
"aama:IDb8680139-9d95-4a06-a3d5-e7c8dc1148ce"	"aama:lexlabel"	"fs'mT"
"aama:IDb8680139-9d95-4a06-a3d5-e7c8dc1148ce"	"aama:pos"	"aama:verb"
"aama:IDb8680139-9d95-4a06-a3d5-e7c8dc1148ce"	"aama:rootClass"	"aama:CCC"
"aama:IDb8680139-9d95-4a06-a3d5-e7c8dc1148ce"	"aama:stemClass"	"aama:D"
"aama:IDc83d6776-57a5-4c95-95b1-d98db05f0878"	"a"	"aama:lexid"
"aama:IDc83d6776-57a5-4c95-95b1-d98db05f0878"	"aama:dervStem"	"aama:B"
"aama:IDc83d6776-57a5-4c95-95b1-d98db05f0878"	"aama:gloss"	"corrupt"
"aama:IDc83d6776-57a5-4c95-95b1-d98db05f0878"	"aama:lang"	"aama:geez"
