?conjClass	?derivedStem	?derivedStemAug	?formType	?rootClass	?tamStemClass	?token
"Prefix"	"T"	"Intensive"	"Stem"	"CVC"	"PresClass"	"⊤"
"Prefix"	"T"	"Simple"	"Stem"	"CCC"	"AoristClass"	"-t-dibil-"
"Prefix"	"T"	"Simple"	"Stem"	"CCC"	"ModClass"	"-t-dibil-"
"Prefix"	"T"	"Simple"	"Stem"	"CCC"	"NegClass"	"-t-dabiil-"
"Prefix"	"T"	"Simple"	"Stem"	"CCC"	"PartClass"	"?at-dab[aa]l-"
"Prefix"	"T"	"Simple"	"Stem"	"CCC"	"PastClass"	"-t-dabaal-"
"Prefix"	"T"	"Simple"	"Stem"	"CCC"	"PresClass"	"-t-dabiil- "
"Prefix"	"T"	"Simple"	"Stem"	"CCY"	"AoristClass"	"-t-dig-"
"Prefix"	"T"	"Simple"	"Stem"	"CCY"	"ModClass"	"-t-diga"
"Prefix"	"T"	"Simple"	"Stem"	"CCY"	"NegClass"	"-t-dagi-"
"Prefix"	"T"	"Simple"	"Stem"	"CCY"	"PartClass"	"?at-dag(aa)y"
"Prefix"	"T"	"Simple"	"Stem"	"CCY"	"PastClass"	"-t-dagaay-"
"Prefix"	"T"	"Simple"	"Stem"	"CCY"	"PresClass"	"-t-dagi-"
"Prefix"	"T"	"Simple"	"Stem"	"CVC"	"AoristClass"	"-t-uu-liw-"
"Prefix"	"T"	"Simple"	"Stem"	"CVC"	"ModClass"	"-t-uu-liw-"
"Prefix"	"T"	"Simple"	"Stem"	"CVC"	"NegClass"	"-t-oo-liiw-"
"Prefix"	"T"	"Simple"	"Stem"	"CVC"	"PartClass"	"?at-oo-laaw-"
"Prefix"	"T"	"Simple"	"Stem"	"CVC"	"PastClass"	"-t-oo-laaw-"
"Prefix"	"T"	"Simple"	"Stem"	"CVC"	"PresClass"	"-t-oo-liiw- "
