?pdgmlabel	?prop1	?val1
"wolaytta-VSmplNegIndicAorProgr-oott"	"mood"	"indicative"
"wolaytta-VSmplNegIndicAorProgr-oott"	"ns#type"	"Term"
"wolaytta-VSmplNegIndicAorProgr-oott"	"number"	"pl"
"wolaytta-VSmplNegIndicAorProgr-oott"	"number"	"sg"
"wolaytta-VSmplNegIndicAorProgr-oott"	"person"	"p1"
"wolaytta-VSmplNegIndicAorProgr-oott"	"person"	"p2"
"wolaytta-VSmplNegIndicAorProgr-oott"	"person"	"p3"
"wolaytta-VSmplNegIndicAorProgr-oott"	"polarity"	"negative"
"wolaytta-VSmplNegIndicAorProgr-oott"	"pos"	"verb"
"wolaytta-VSmplNegIndicAorProgr-oott"	"tam"	"aoristProgressive"
"wolaytta-VSmplNegRelPerf-maadd"	"complement"	"simple"
"wolaytta-VSmplNegRelPerf-maadd"	"gender"	"f"
"wolaytta-VSmplNegRelPerf-maadd"	"gender"	"m"
"wolaytta-VSmplNegRelPerf-maadd"	"gender"	"⊤"
"wolaytta-VSmplNegRelPerf-maadd"	"mood"	"relative"
"wolaytta-VSmplNegRelPerf-maadd"	"ns#type"	"Term"
"wolaytta-VSmplNegRelPerf-maadd"	"number"	"pl"
"wolaytta-VSmplNegRelPerf-maadd"	"number"	"sg"
"wolaytta-VSmplNegRelPerf-maadd"	"person"	"p1"
"wolaytta-VSmplNegRelPerf-maadd"	"person"	"p2"
"wolaytta-VSmplNegRelPerf-maadd"	"person"	"p3"
"wolaytta-VSmplNegRelPerf-maadd"	"polarity"	"negative"
"wolaytta-VSmplNegRelPerf-maadd"	"pos"	"verb"
"wolaytta-VSmplNegRelPerf-maadd"	"tam"	"perfect"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"complement"	"simple"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"gender"	"⊤"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"mood"	"infinitive"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"ns#type"	"Term"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"number"	"⊤"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"person"	"⊤"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"polarity"	"affirmative"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"pos"	"verb"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"tam"	"U"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"tam"	"⊤"
"wolaytta-VSmplAffInfinitiveMonoradical-y"	"verbMorphClass"	"monoradical"
"wolaytta-VSmplAffInterrAor-oott"	"complement"	"simple"
"wolaytta-VSmplAffInterrAor-oott"	"gender"	"f"
"wolaytta-VSmplAffInterrAor-oott"	"gender"	"m"
"wolaytta-VSmplAffInterrAor-oott"	"gender"	"⊤"
"wolaytta-VSmplAffInterrAor-oott"	"mood"	"interrogative"
"wolaytta-VSmplAffInterrAor-oott"	"ns#type"	"Term"
"wolaytta-VSmplAffInterrAor-oott"	"number"	"pl"
"wolaytta-VSmplAffInterrAor-oott"	"number"	"sg"
"wolaytta-VSmplAffInterrAor-oott"	"person"	"p1"
"wolaytta-VSmplAffInterrAor-oott"	"person"	"p2"
"wolaytta-VSmplAffInterrAor-oott"	"person"	"p3"
"wolaytta-VSmplAffInterrAor-oott"	"polarity"	"affirmative"
"wolaytta-VSmplAffInterrAor-oott"	"pos"	"verb"
"wolaytta-VSmplAffInterrAor-oott"	"tam"	"aorist"
"wolaytta-PPossNoun"	"gender"	"f"
"wolaytta-PPossNoun"	"gender"	"honorific"
"wolaytta-PPossNoun"	"gender"	"m"
"wolaytta-PPossNoun"	"gender"	"⊤"
"wolaytta-PPossNoun"	"genderRef"	"f"
"wolaytta-PPossNoun"	"genderRef"	"m"
"wolaytta-PPossNoun"	"ns#type"	"Term"
"wolaytta-PPossNoun"	"number"	"pl"
"wolaytta-PPossNoun"	"number"	"sg"
"wolaytta-PPossNoun"	"person"	"p1"
"wolaytta-PPossNoun"	"person"	"p2"
"wolaytta-PPossNoun"	"person"	"p3"
"wolaytta-PPossNoun"	"pos"	"pronoun"
"wolaytta-PPossNoun"	"proClass"	"possNoun"
"wolaytta-VSmplAffSubjPres-oott"	"complement"	"simple"
"wolaytta-VSmplAffSubjPres-oott"	"gender"	"f"
"wolaytta-VSmplAffSubjPres-oott"	"gender"	"m"
"wolaytta-VSmplAffSubjPres-oott"	"gender"	"⊤"
"wolaytta-VSmplAffSubjPres-oott"	"mood"	"subjunctivepdgmLex"
"wolaytta-VSmplAffSubjPres-oott"	"ns#type"	"Term"
"wolaytta-VSmplAffSubjPres-oott"	"number"	"pl"
"wolaytta-VSmplAffSubjPres-oott"	"number"	"sg"
"wolaytta-VSmplAffSubjPres-oott"	"person"	"p1"
"wolaytta-VSmplAffSubjPres-oott"	"person"	"p2"
"wolaytta-VSmplAffSubjPres-oott"	"person"	"p3"
"wolaytta-VSmplAffSubjPres-oott"	"polarity"	"affirmative"
